"mon_first","id","firstpurchase","lastpurchase","purchases","monetary","f3m","m3m","r","lifetime","f_btts","bt","rfm_recency","rfm_frequency","rfm_monetary"
2019-12-01,3864822,2019-12-09,2019-12-30,2,10219.8,2,10219.8,1,21,"2",,1,3,5
2019-12-01,2401740,2019-12-02,2019-12-23,6,10924.68,6,10924.68,8,21,"6",,3,5,5
2019-12-01,2443098,2019-12-02,2019-12-02,3,11028.42,3,11028.42,29,0,"3",,5,5,5
2019-12-01,702936,2019-12-16,2019-12-16,1,11460.78,1,11460.78,15,0,"1",,4,1,5
2019-12-01,3297756,2019-12-02,2019-12-30,6,11970.78,6,11970.78,1,28,"6",,1,5,5
2019-12-01,3291816,2019-12-02,2019-12-23,3,12026.82,3,12026.82,8,21,"3",,2,4,5
2019-12-01,3934080,2019-12-02,2019-12-30,4,12659.4,4,12659.4,1,28,"4",,1,5,5
2019-12-01,705708,2019-12-02,2019-12-30,4,13918.2,4,13918.2,1,28,"4",,1,5,5
2019-12-01,932142,2019-12-02,2019-12-16,2,13957.439999999999,2,13957.439999999999,15,14,"2",,4,4,5
2019-12-01,2998164,2019-12-02,2019-12-23,4,14868.899999999998,4,14868.899999999998,8,21,"4",,1,5,5
2019-12-01,2401926,2019-12-02,2019-12-23,9,14936.46,9,14936.46,8,21,"9",,3,5,5
2019-12-01,706056,2019-12-02,2019-12-23,3,15050.939999999999,3,15050.939999999999,8,21,"3",,3,4,5
2019-12-01,3146316,2019-12-02,2019-12-16,3,15392.16,3,15392.16,15,14,"3",,3,4,5
2019-12-01,3431910,2019-12-23,2019-12-23,1,16322.34,1,16322.34,8,0,"1",,2,2,5
2019-12-01,1040508,2019-12-02,2019-12-09,6,17613.18,6,17613.18,22,7,"6",,5,5,5
2019-12-01,702684,2019-12-09,2019-12-30,6,17657.34,6,17657.34,1,21,"6",,1,5,5
2019-12-01,1038996,2019-12-16,2019-12-30,2,18421.86,2,18421.86,1,14,"2",,1,4,5
2019-12-01,1008564,2019-12-09,2019-12-23,2,18827.1,2,18827.1,8,14,"2",,2,3,5
2019-12-01,718152,2019-12-02,2019-12-30,23,19098.899999999998,23,19098.899999999998,1,28,"23",,1,5,5
2019-12-01,966846,2019-12-02,2019-12-23,2,19241.04,2,19241.04,8,21,"2",,2,3,5
2019-12-01,3287454,2019-12-02,2019-12-30,4,19723.32,4,19723.32,1,28,"4",,1,5,5
2019-12-01,2493162,2019-12-02,2019-12-09,4,21047.88,4,21047.88,22,7,"4",,4,5,5
2019-12-01,724974,2019-12-02,2019-12-23,9,21218.340000000004,9,21218.340000000004,8,21,"9",,1,5,5
2019-12-01,4511262,2019-12-09,2019-12-23,3,23948.760000000002,3,23948.760000000002,8,14,"3",,3,4,5
2019-12-01,3792426,2019-12-02,2019-12-30,13,24945.66,13,24945.66,1,28,"13",,1,5,5
2019-12-01,3019500,2019-12-02,2019-12-02,2,26449.62,2,26449.62,29,0,"2",,5,4,5
2019-12-01,4356906,2019-12-02,2019-12-16,2,26646.0,2,26646.0,15,14,"2",,4,4,5
2019-12-01,3289728,2019-12-02,2019-12-30,3,30158.52,3,30158.52,1,28,"3",,1,4,5
2019-12-01,708780,2019-12-02,2019-12-30,17,31695.66,17,31695.66,1,28,"17",,1,5,5
2019-12-01,705360,2019-12-02,2019-12-30,11,36568.560000000005,11,36568.560000000005,1,28,"11",,1,5,5
2019-12-01,857472,2019-12-02,2019-12-16,7,46629.30000000001,7,46629.30000000001,15,14,"7",,4,5,5
2019-12-01,702210,2019-12-02,2019-12-30,7,50534.64,7,50534.64,1,28,"7",,1,5,5
2019-12-01,3400308,2019-12-02,2019-12-23,5,70431.18,5,70431.18,8,21,"5",,2,5,5
2019-12-01,3301296,2019-12-02,2019-12-30,135,103930.98000000004,135,103930.98000000004,1,28,"135",,1,5,5
2019-12-01,984036,2019-12-02,2019-12-02,1,105467.28,1,105467.28,29,0,"1",,5,1,5
2019-12-01,3618438,2019-12-02,2019-12-30,274,1623771.959999999,274,1623771.959999999,1,28,"274",,1,5,5
2020-01-01,812592,2020-01-20,2020-01-20,1,82.44,1,82.44,11,0,"1",,3,2,1
2020-01-01,4225668,2020-01-20,2020-01-20,1,122.82,1,122.82,11,0,"1",,3,2,1
2020-01-01,186089724,2019-12-16,2019-12-16,0,0.0,1,136.02,46,0,"1-0",{downgrade},5,1,1
2020-01-01,3287952,2020-01-20,2020-01-20,1,137.4,1,137.4,11,0,"1",,3,2,1
2020-01-01,3472098,2020-01-13,2020-01-13,1,156.66,1,156.66,18,0,"1",,4,1,1
2020-01-01,3290052,2019-12-30,2019-12-30,0,0.0,1,173.64,32,0,"1-0",{downgrade},4,1,1
2020-01-01,3519420,2019-12-23,2019-12-23,0,0.0,1,201.0,39,0,"1-0",{downgrade},4,1,1
2020-01-01,3505104,2020-01-20,2020-01-20,1,207.6,1,207.6,11,0,"1",,3,2,1
2020-01-01,3201114,2019-12-16,2020-01-27,1,137.4,2,266.34000000000003,4,42,"1-1",{neutral},1,3,1
